一,いち|ひと|かず|いつ|,One
加,か|くわ|,Add
節,せつ|ふし|,Season
減,げん|へ|,Decrease
順,じゅん|,Order|Sequence
容,よう|,Form|Appearance|Shape|Figure
布,ふ|ぬの|,Cloth
易,い|えき|やさ|,Easy
財,さい|ざい|,Wealth
若,じゃく|わか|も|,Young
詞,し|,Part Of Speech|Speech Particle|Particle Of Speech|Grammar Particle
昆,こん|,Descendants
閥,ばつ|,Clique|Clan
歴,れき|へ|,Continuation
舌,ぜつ|した|,Tongue
冊,さつ|,Book Counter|Counter For Books|Counter For Volumes
宇,う|,Outer Space
宙,ちゅう|,Midair
忙,ぼう|いそが|,Busy
履,り|は|,Boots
団,だん|とん|,Group
暴,ぼう|あば|ばく|,Violence
混,こん|ま|,Mix
乱,らん|みだ|,Riot
徒,と|,Junior|Follower
得,とく|え|う|,Acquire
改,かい|あらた|,Renew
続,ぞく|つづ|,Continue
連,れん|つ|つら|,Take Along
善,ぜん|,Morally Good|Good
困,こん|こま|,Distressed|Troubled
絡,らく|から|,Entangle|Coil Around|Entwine
比,ひ|くら|,Compare
災,さい|わざわ|,Disaster
機,き|はた|,Machine
率,りつ|そつ|ひき|,Percent|Percentage
飛,ひ|と|,Fly
害,がい|,Damage|Injury|Harm
余,よ|あま|,Surplus|Excess
難,なん|むずか|,Difficult
妨,ぼう|さまた|,Obstruct|Impede
被,ひ|かぶ|,Incur
裕,ゆう|,Abundant|Plentiful
震,しん|ふる|,Earthquake|Quake|Shake
尻,しり|,Butt|Buttocks
尾,び|お|ぽ|,Tail
械,かい|かせ|,Contraption
確,かく|たし|,Certain
嫌,けん|いや|きら|げん|,Dislike
個,こ|,Individual
圧,あつ|,Pressure
在,ざい|,Exist
夢,む|ゆめ|,Dream
産,さん|う|,Give Birth|Birth
倒,とう|たお|,Overthrow|Collapse
臭,しゅう|くさ|,Stinking|Stinky|Smelly
厚,こう|あつ|,Thick
妻,さい|つま|,Wife
議,ぎ|,Deliberation|Discussion
犯,はん|おか|,Crime
罪,ざい|つみ|,Guilt
防,ぼう|ふせ|,Prevent|Prevention
穴,けつ|あな|,Hole|Cave
論,ろん|,Theory
経,けい|た|へ|,Passage of Time|Pass Through|Manage
笛,てき|ふえ|,Flute
史,し|,History
敵,てき|かな|かたき|,Enemy
済,さい|す|,Come To An End
委,い|,Committee
挙,きょ|あ|,Raise
判,はん|,Judge
制,せい|,Control|System
務,む|つと|,Task
査,さ|,Inspect|Investigate|Inspection|Investigation
総,そう|,Whole
設,せつ|もう|,Establish
資,し|,Resources
権,けん|,Rights
件,けん|,Matter|Affair
派,は|,Sect
岡,おか|,Hill
素,そ|す|,Element
断,だん|ことわ|た|,Cut Off
評,ひょう|,Evaluate
批,ひ|,Criticism
任,にん|まか|,Duty
検,けん|,Examine
審,しん|,Judge
条,じょう|,Clause
責,せき|せ|,Blame
省,しょう|せい|はぶ|,Conserve
増,ぞう|ふ|ま|,Increase
税,ぜい|,Tax
解,かい|と|,Untie|Solve
際,さい|きわ|,Occasion
認,にん|みと|,Recognize
企,き|くわだ|,Plan
義,ぎ|,Righteousness
罰,ばつ|ばっ|,Penalty|Punishment
誕,たん|,Birth
脱,だつ|ぬ|,Undress
過,か|す|あやま|,Surpass
坊,ぼう|,Monk
寝,しん|ね|,Lie Down|Lay Down|Sleep
